text,label
collar shirt sheer blouse a-line skirt silk midi skirt beige coat platform shoe,Formal
satin dress long-sleeve dress ankle-strap shoe navy blazer,Formal
satin dress sleeveless dress strappy shoe maroon coat pearl jewelry,Formal
satin blouse long-sleeve shirt white pleated skirt pointed toe flat navy peacoat,Formal
red midi dress taupe cowl-neck satin dress rounded toe shoe,Formal
mock-neck top white button-up shirt red pencil skirt mid-heel boot black cape,Formal
chiffon blouse long-sleeve blouse midi skirt pencil skirt white mule shoe,Formal
turtleneck top ivory ruffle skirt black watch oxford shoe black blazer,Formal
high-neck beige top collar shirt tailored trousers gold jewelry navy ankle boot,Formal
slim-fit shirt button front skirt pencil skirt chelsea boot knit scarf pointedtoe heel,Formal
collar shirt black long trousers mid-calf skirt nude pump,Formal
tailored jumpsuit black tiered dress rose gold jewelry black watch chelsea boot,Formal
white collared shirt maroon tailored pant formal skirt navy blazer suede boot,Formal
taupe jumpsuit navy midi dress diamond ring black boot crossbody handbag ,Formal
navy button up shirt long-sleeve pleated high-neck top formal trousers,Formal
long-sleeve dress mock-neck high neck top mid heel shoe white mule shoes,Formal
white jumpsuit patterned v-neck top white shoe wingtip shoe red long coat,Formal
white blouse long-sleeve top plain blouse mid-sleeve shirt maryjane shoes,Formal
eyelash trim cami bodycon skirt maryjane shoes purple fluffy jacket,Party
sleeveless top sheer top silver embroidered skirt flouncy skirt black leather jacket,Party
eyelash trim top white lace top silver ring silver chiffon skirt platform heel,Party
sheer top ruffle hem top purple bodycon skirt vinyl mini skirt mid-heel shoe,Party
sheer top mesh top slip midi skirt high-heel shoe crystal jewelry,Party
sleeveless mini dress neon pink dress slingback stiletto shoe glitter tier dress,Party
lace bralette plunging neckline dress gold bracelet mid-heel shoe,Party
embroidered shirt bodycon skirt chunky boot sequin skater skirt circle skirt lace choker ,Party
dark-green playsuit strappy shoe ankle strap red high heel shoe black leather jacket,Party
silver puff sleeve dress sheer tiered dress ruched mini dress high heel shoe fluffy jacket,Party
mesh panel skater dress sleeveless dress lace trim bodycon dress high-heel shoe,Party
glitter top sequin skirt snake print skirt red platform shoes teddy coat,Party
animal print top leopard print dress lace bias skirt slip midi dress dress stilleto heel,Party
crushed velvet mini dress backless dress burgundy coat platform heel,Party
white cocktail dress sequin dress silk dress metallic dress snakeskin skirt mule shoe ,Party
embroidered top green eyelet top red bandage skirt sequin stiletto heel,Party
sleeveless top dark-green bralette high heel shoe green suede jacket,Party
broderie top graphic t-shirt black skinny jeans ripped jeans birkenstock,Casual
sleeveless v-neck top circle skirt long-sleeve sweater plaid shirt fringe sandal,Casual
crop hoodie denim shirt a-line skirt highwaisted short orange corduroy jacket,Casual
multicolour sweater floral print skirt blue jeggings denim jacket sneakers,Casual
blue crochet top floral print skirt yellow culotte floppy hat colorblock tote ,Casual
khaki broderie top knee-length skirt mom-jeans slipon shoe vans,Casual
striped t-shirt green loose grey sweatpants tan shoe green satchel grey cardigan ,Casual
floral dress multicolor dress short-sleeve print shirt sage leggings tennis shoes,Casual
white t-shirt boyfriend short ripped short jeans short denim converse trainer beanie hat,Casual
plaid check skirt open-toe sandal grey wool sweater camouflage trousers bucket hat,Casual
short-sleeve plain basic t-shirt plaid pants graphic t-shirt denim shorts flat shoe,Casual
crop top white cotton t-shirt corduroy skirt brown converse high top denim jacket,Casual
pastel dress blue jeans boyfriend jeans ripped jeans faded jeans scoop neck shirt ,Casual
yellow crop top elastic waist pants denim short ombre skirt sneaker flower crown ,Casual
pale-blue knit sweater pink skirt white sneaker flower crown elastic headband,Casual
sleeveless shirt crop top pink cotton t-shirt floral headband baseball cap logo hat,Casual
corduroy shirt corduroy a-line skirt denim short cuffed jeans flat shoe pink jersey,Casual
floral print blouse flannel shirt pattern top blue tartan skirt distressed jeans nikes,Casual
linen shirt tank top camisole ripped jeans mid-rise jeans loose sweater sneakers,Casual
oversized graphic tee white daisy earring pink sunglasses platform wedge shoe,Casual
long-sleeve sweatshirt cable-knit sweater pullover sweater midrise jeans low jeans patched jacket,Casual
pastel dress crop jumper wide-leg trousers skinny jeans tennis skirt oversized sweater,Casual
muscle t-shirt blue plaid shorts high-waist short orange ribbed t-shirt black docs,Casual
floral cotton shirt crewneck sweater grey high-waisted skinny jeans pink hoodie,Casual
cap-sleeve top adidas white shoe pocket t-shirt crewneck floral skirt skinny jeans ,Casual
crewneck tee crop top light-blue wide leg jeans short-sleeve tee cross strap sandal,Casual
cable-knit sweater blue sweater jumper blue jeans skinny jeans denim jeans waterproof raincoat,Casual
striped t-shirt boyfriend jeans corduroy trousers straight leg jeans pullover hoodie,Casual
long-sleeve raglan dress striped t-shirt white jeans boyfriend jeans nikes,Casual
embroidered blouse pink blouse collar blouse golf skirt skort skirt short skirt,Casual
